Date,Open,High,Low,Close,Volume
2020-03-04,1.1,1.1,1.1,1.1,498363
2020-03-05,1.05,1.05,1.05,1.05,436894
2020-03-06,1.0,1.0,1.0,1.0,1205305
2020-03-09,0.95,0.95,0.95,0.95,701421
2020-03-11,0.9,0.9,0.9,0.9,2185692
2020-03-12,0.85,0.85,0.85,0.85,400733
2020-03-13,0.8,0.8,0.8,0.8,2560242
2020-03-16,0.75,0.8,0.75,0.75,42367419
2020-03-17,0.7,0.7,0.7,0.7,2377039
2020-03-18,0.65,0.65,0.65,0.65,1962662
2020-03-19,0.6,0.6,0.6,0.6,25975550
2020-03-20,0.55,0.55,0.55,0.55,5610168
2020-03-23,0.5,0.5,0.5,0.5,3285119
2020-03-24,0.45,0.45,0.45,0.45,4972005
2020-03-25,0.4,0.4,0.4,0.4,32574744
2020-03-26,0.35,0.45,0.35,0.45,61054679
2020-03-27,0.5,0.5,0.5,0.5,802745
2020-03-30,0.45,0.55,0.45,0.55,30290527
2020-03-31,0.6,0.6,0.55,0.6,14091262
2020-04-01,0.65,0.65,0.6,0.65,15950587
2020-04-03,0.7,0.7,0.7,0.7,538624
2020-04-07,0.75,0.75,0.75,0.75,1650593
2020-04-08,0.8,0.8,0.8,0.8,2756613
2020-04-09,0.85,0.85,0.75,0.85,29727614
2020-04-13,0.9,0.9,0.8,0.85,12670748
2020-04-15,0.85,0.85,0.8,0.8,6967519
2020-04-16,0.75,0.75,0.75,0.75,2188132
2020-04-17,0.7,0.75,0.7,0.7,11394330
2020-04-20,0.7,0.75,0.65,0.75,11221431
2020-04-21,0.8,0.8,0.7,0.75,3154282
2020-04-22,0.7,0.8,0.7,0.8,11103001
2020-04-23,0.8,0.8,0.75,0.75,11442403
2020-04-24,0.75,0.8,0.7,0.8,5820906
2020-04-27,0.8,0.85,0.75,0.75,7753489
2020-04-28,0.75,0.75,0.7,0.75,4257544
2020-04-29,0.75,0.75,0.7,0.75,3040958
2020-04-30,0.75,0.75,0.7,0.7,4652224
2020-05-04,0.7,0.75,0.65,0.75,2959319
2020-05-05,0.75,0.75,0.7,0.7,2771939
2020-05-06,0.7,0.75,0.7,0.75,1164607
2020-05-07,0.75,0.75,0.7,0.75,1480773
2020-05-08,0.75,0.75,0.7,0.75,2676961
2020-05-11,0.75,0.8,0.7,0.8,12139687
2020-05-12,0.85,0.85,0.8,0.85,7256952
2020-05-13,0.9,0.9,0.85,0.9,7412784
2020-05-14,0.95,0.95,0.9,0.95,5262591
2020-05-15,1.0,1.0,0.95,1.0,5666843
2020-05-18,1.05,1.05,0.95,0.95,10525267
2020-05-19,0.9,0.95,0.9,0.9,3336691
2020-05-20,0.85,0.95,0.85,0.95,7486812
2020-05-21,1.0,1.0,0.9,0.9,11881311
2020-05-22,0.9,0.9,0.85,0.85,10992219
2020-05-26,0.85,0.9,0.8,0.8,12002679
2020-05-27,0.85,0.85,0.75,0.75,33454466
2020-05-28,0.8,0.8,0.7,0.8,10923307
2020-05-29,0.85,0.85,0.85,0.85,7069453
2020-06-01,0.9,0.9,0.9,0.9,3557827
2020-06-02,0.95,0.95,0.95,0.95,3997169
2020-06-03,1.0,1.0,1.0,1.0,4134215
2020-06-04,1.05,1.05,1.05,1.05,3081251
2020-06-05,1.1,1.1,1.1,1.1,693050
2020-06-08,1.15,1.15,1.15,1.15,3027092
2020-06-09,1.2,1.2,1.2,1.2,564040
2020-06-10,1.25,1.25,1.25,1.25,435848
2020-06-11,1.3,1.3,1.2,1.3,30145841
2020-06-12,1.35,1.35,1.3,1.35,9024025
2020-06-15,1.4,1.4,1.4,1.4,268385
2020-06-16,1.45,1.45,1.45,1.45,1439301
2020-06-17,1.5,1.5,1.5,1.5,201898
2020-06-18,1.55,1.55,1.55,1.55,1197344
2020-06-19,1.6,1.6,1.6,1.6,156126
2020-06-22,1.65,1.65,1.65,1.65,130119
2020-06-23,1.7,1.7,1.7,1.7,432236
2020-06-24,1.75,1.75,1.75,1.75,450390
2020-06-25,1.8,1.8,1.8,1.8,345095
2020-06-26,1.85,1.85,1.85,1.85,180334
2020-06-29,1.9,1.9,1.9,1.9,647431
2020-06-30,1.95,1.95,1.95,1.95,177452
2020-07-01,2.0,2.0,2.0,2.0,1273874
2020-07-02,2.1,2.1,2.1,2.1,732271
2020-07-03,2.2,2.2,2.0,2.2,57061605
2020-07-06,2.25,2.3,2.1,2.1,41053337
2020-07-07,2.0,2.0,2.0,2.0,4008049
